dataset,object,descriptor,category,time
OverlappingObjects,0081,3DSC,15.1-25.0,0.427487841
OverlappingObjects,0081,FPFH,15.1-25.0,1.563886365
OverlappingObjects,0081,QUICCI,15.1-25.0,0.013353266
OverlappingObjects,0081,RICI,15.1-25.0,0.013318226
OverlappingObjects,0081,SI,15.1-25.0,0.090546491
OverlappingObjects,0082,3DSC,15.1-25.0,0.567237308
OverlappingObjects,0082,FPFH,15.1-25.0,2.328332757
OverlappingObjects,0082,QUICCI,15.1-25.0,0.05429165
OverlappingObjects,0082,RICI,15.1-25.0,0.053409451
OverlappingObjects,0082,SI,15.1-25.0,0.186095106
OverlappingObjects,0083,3DSC,15.1-25.0,0.525411384
OverlappingObjects,0083,FPFH,15.1-25.0,2.440639353
OverlappingObjects,0083,QUICCI,15.1-25.0,0.058846345
OverlappingObjects,0083,RICI,15.1-25.0,0.058415616
OverlappingObjects,0083,SI,15.1-25.0,0.12829167
OverlappingObjects,0084,3DSC,15.1-25.0,0.546173421
OverlappingObjects,0084,FPFH,15.1-25.0,2.209550287
OverlappingObjects,0084,QUICCI,15.1-25.0,0.041122335
OverlappingObjects,0084,RICI,15.1-25.0,0.040253506
OverlappingObjects,0084,SI,15.1-25.0,0.153762871
OverlappingObjects,0085,3DSC,15.1-25.0,0.679361325
OverlappingObjects,0085,FPFH,15.1-25.0,3.30076795
OverlappingObjects,0085,QUICCI,15.1-25.0,0.135457801
OverlappingObjects,0085,RICI,15.1-25.0,0.133552463
OverlappingObjects,0085,SI,15.1-25.0,0.256552799
OverlappingObjects,0086,3DSC,15.1-25.0,0.465358389
OverlappingObjects,0086,FPFH,15.1-25.0,1.77809715
OverlappingObjects,0086,QUICCI,15.1-25.0,0.018713949
OverlappingObjects,0086,RICI,15.1-25.0,0.01822794
OverlappingObjects,0086,SI,15.1-25.0,0.108741891
OverlappingObjects,0087,3DSC,15.1-25.0,0.439807758
OverlappingObjects,0087,FPFH,15.1-25.0,1.791723775
OverlappingObjects,0087,QUICCI,15.1-25.0,0.022421115
OverlappingObjects,0087,RICI,15.1-25.0,0.021920616
OverlappingObjects,0087,SI,15.1-25.0,0.10972727
OverlappingObjects,0088,3DSC,15.1-25.0,0.523483446
OverlappingObjects,0088,FPFH,15.1-25.0,1.997852679
OverlappingObjects,0088,QUICCI,15.1-25.0,0.032850393
OverlappingObjects,0088,RICI,15.1-25.0,0.037547159
OverlappingObjects,0088,SI,15.1-25.0,0.149462626
OverlappingObjects,0089,3DSC,15.1-25.0,0.487980685
OverlappingObjects,0089,FPFH,15.1-25.0,1.890354667
OverlappingObjects,0089,QUICCI,15.1-25.0,0.02737295
OverlappingObjects,0089,RICI,15.1-25.0,0.026360431
OverlappingObjects,0089,SI,15.1-25.0,0.107540853
OverlappingObjects,0090,3DSC,15.1-25.0,0.263681381
OverlappingObjects,0090,FPFH,15.1-25.0,1.233006598
OverlappingObjects,0090,QUICCI,15.1-25.0,0.003452527
OverlappingObjects,0090,RICI,15.1-25.0,0.003239667
